한국어	이미지
전술 교본 (트리거 : 트루퍼)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
전술 교본 (피닉스 포스)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_5.png
절멸의 비수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_ShortBlade_Extinction.png
정령의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Spirit.png
정령의 수정 (소울 오브 프레임: 스피릿)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_fire_5.png
정령의 수정 (스트라이커 게일: 스피릿)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_air_5.png
정령의 수정 (어스 유니온)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_earth_5.png
정령의 수정 (엘리멘탈 마스터 : 스피릿)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_normal_5.png
정령의 수정 (엘리멘탈 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_normal_5.png
정령의 수정 (워터 디지즈: 스피릿)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_water_5.png
정령의 수정 (인탱글)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_air_5.png
정령의 수정 (폴루트 워터: 스피릿)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_water_5.png
제니스 퀸의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_ZenithQueen.png
제니스 퀸의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_ZenithQueen.png
죽음의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Silen.png
죽음의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Silen.png
죽음의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Silen.png
증오의 방패	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_PitchDarkness.png
지룡의 비늘	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_Material_Scale_Antaras.png
지룡의 비늘 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Antaras.png
지룡의 비늘 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Antaras.png
지휘관의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Zerald.png
지휘관의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Zerald.png
지휘관의 신발	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Zerald.png
지휘관의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Zerald.png
지휘관의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Zerald.png
진노의 크로우	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cla_Kalturan.png
질풍의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_Gale.png
집념의 마력포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Tenacity.png
차원의 마력서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Dimension.png
천귀의 귀검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Dbla_Heavenbane.png
침묵의 대검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/great_sword_of_radon.png
칼립소의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_GI_Pirate_Boss.png
칼투란의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Guarder_kalturan.png
칼투란의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/pants_of_dragon.png
칼투란의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/pants_of_kalturan.png
칼투란의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Belt_of_Contempt.png
커츠의 검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Swd_kurtz.png
케레니스의 로브	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Cerenis.png
케레니스의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Cerenis.png
케레니스의 서클릿	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Cerenis.png
케레니스의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Cerenis.png
코카트리스 킹의 비늘 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_Cockatriceking.png
쿠거의 가죽 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_CougarLeather.png
타락한 추종자의 귀걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Ear_FallenSage.png
타이탄의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/pants_of_Leg_Titan.png
태풍의 도끼	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Daxe_Typhoon.png
테케르의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Teker.png
파아그리오의 대검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Lswd_Paagrio.png
파푸리온의 정수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/essence_high_09.png
포효의 이도류	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Dswd_Slave.png
폭풍의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Typhoon.png
폭풍의 비수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_ShortBlade_Typhoon.png
풍룡의 비늘	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_Material_Scale_Lindvior.png
풍룡의 비늘 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Lindvior.png
풍룡의 비늘 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_Lindvior.png
하그마의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_EverntBandit_Boss.png
하딘의 지팡이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Stf_HadinStaff.png
해방의 망토	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Liberation.png
혈령의 태도	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_LongBlade_Blood.png
혈법서 (베인 엔드 : 강화 크림슨)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (베인 인사이트)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (블러드 레퀴엠)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (블러드 배리어)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (블러드 퀸)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (블러드 포스 : 크림슨)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (블러드 핸드 : 크림슨)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈법서 (서먼 가디언)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_5_Legend.png
혈옥의 성배	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_BC_F_Bloodruby.png
혈요의 보주	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_BloodfiendOrb.png
혈익의 사이드	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Scythe_DeathWing.png
혈혼의 귀검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Dbla_Frostfang.png
혈화의 성배	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_BC_F_Bloodflower.png
홍염의 마수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Fist_Flame.png
화마의 마력포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Flame.png
화염의 기관포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Gun_Flame.png
흑령의 보주	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_ShadowOrb.png
흑정령의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_DA_Assassin.png
흑정령의 수정 (다크 커튼)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (더블 브레이크 : 데스티니)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (쉐도우 대시 : 데스티니)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (쉐도우 이베이젼 : 데스티니)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (아머 브레이크)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (언케니 닷지: 데스티니)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑정령의 수정 (파이널 번)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_5_Legend.png
흑혈의 성배	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_BC_F_Blackblood.png
