분류	한국어	中文	English	티어
전설	전술 교본 (인페르노 : 트루퍼)	戰術教本 (地獄火 : 步兵)	Tactics Manual (Inferno: Trooper)	
전설	전술 교본 (턴 택틱스 : 트루퍼)	戰術教本 (扭轉戰局 : 步兵)	Tactics Manual (Turn Tactics: Trooper)	
전설	전술 교본 (트리거 : 트루퍼)	戰術教本 (扳機 : 步兵)	Tactics Manual (Trigger: Trooper)	
전설	전술 교본 (피닉스 포스)	戰術教本 (不死鳥之力)	Tactics Manual (Phoenix Force)	
전설	절멸의 비수	絕滅匕首	Dirk of Death	0티어
전설	정령의 가더	精靈臂甲	Spirit's Guarder	2티어
전설	정령의 수정 (소울 오브 프레임: 스피릿)	精靈水晶 (烈焰之魂 : 精神)	Spirit Crystal (Soul of Flame: Spirit)	
전설	정령의 수정 (스트라이커 게일: 스피릿)	精靈水晶 (精準射擊 : 精神)	Spirit Crystal (Striker Gale: Spirit)	
전설	정령의 수정 (어스 유니온)	精靈水晶 (大地聯合)	Spirit Crystal (Earth Union)	
전설	정령의 수정 (엘리멘탈 마스터 : 스피릿)	精靈水晶 (精靈大師 : 精神)	Spirit Crystal (Elemental Master: Spirit)	
전설	정령의 수정 (엘리멘탈 배리어)	精靈水晶 (精靈屏障)	Spirit Crystal (Elemental Barrier)	
전설	정령의 수정 (워터 디지즈: 스피릿)	精靈水晶 (重水之疾 : 精神)	Spirit Crystal (Water Disease: Spirit)	
전설	정령의 수정 (인탱글)	精靈水晶 (地面障礙)	Spirit Crystal (Entangle)	
전설	정령의 수정 (폴루트 워터: 스피릿)	精靈水晶 (污濁之水 : 精神)	Spirit Crystal (Polluted Water: Spirit)	
전설	제니스 퀸의 망토	傑尼斯女王斗篷	Queen Zenith's Cloak	2티어
전설	제니스 퀸의 반지	傑尼斯女王戒指	Queen Zenith's Ring	0티어
전설	죽음의 망토	死亡斗篷	Cloak of Death	1티어
전설	죽음의 장갑	死亡手套	Gloves of Death	1티어
전설	죽음의 투구	死亡頭盔	Helm of Death	1티어
전설	증오의 방패	憎惡之盾	Shield of Hatred	0티어
전설	지룡의 비늘	地龍鱗	Earth Dragon's Scale	
전설	지룡의 비늘 각반	地龍鱗脛甲	Earth Dragon's Scale Gaiters	0티어
전설	지룡의 비늘 갑옷	地龍鱗甲	Earth Dragon's Scale Armor	0티어
전설	지휘관의 갑옷	指揮官盔甲	Commander's Armor	2티어
전설	지휘관의 망토	指揮官斗篷	Commander's Cloak	2티어
전설	지휘관의 신발	指揮官鞋子	Commander's Shoes	2티어
전설	지휘관의 장갑	指揮官手套	Commander's Gloves	2티어
전설	지휘관의 투구	指揮官頭盔	Commander's Helm	2티어
전설	진노의 크로우	震怒鋼爪	Wrathful Claws	3티어
전설	질풍의 반지	疾風戒指	Ring of Giant Winds	1티어
전설	집념의 마력포	執念魔力砲	Magic Cannon of Obsession	0티어
전설	차원의 마력서	次元魔力書	Grimoire of Dimensions	2티어
전설	천귀의 귀검	天鬼鬼劍	Heavenly Spirit's Spirit Blade	3티어
전설	침묵의 대검	沉默大劍	Greatsword of Silence	3티어
전설	칼립소의 갑옷	卡利索盔甲	Calypso's Armor	3티어
전설	칼투란의 가더	卡爾圖蘭臂甲	Kalturan's Guarder	1티어
전설	칼투란의 각반	卡爾圖蘭脛甲	Kalturan's Gaiters	2티어
전설	칼투란의 망토	卡爾圖蘭斗篷	Kalturan's Cloak	2티어
전설	칼투란의 벨트	卡爾圖蘭皮帶	Kalturan's Belt	1티어
전설	커츠의 검	克特之劍	Kurtz's Sword	3티어
전설	케레니스의 로브	賽尼斯長袍	Cerenis' Robe	3티어
전설	케레니스의 부츠	賽尼斯長靴	Cerenis' Boots	3티어
전설	케레니스의 서클릿	賽尼斯頭箍	Cerenis' Circlet	3티어
전설	케레니스의 장갑	賽尼斯手套	Cerenis' Gloves	3티어
전설	코카트리스 킹의 비늘 부츠	亞力安王鱗片長靴	Cockatrice King's Scale Boots	1티어
전설	쿠거의 가죽 부츠	黑豹皮長靴	Cougar's Leather Boots	2티어
전설	타락한 추종자의 귀걸이	墮落的追隨者耳環	Tainted Follower's Earrings	0티어
전설	타이탄의 각반	泰坦脛甲	Titan's Gaiters	1티어
전설	태풍의 도끼	食人巨魔的斧頭	Hurricane Axe	1티어
전설	테케르의 가더	特克爾的臂甲	Teker's Guarder	1티어
전설	파아그리오의 대검	帕格立歐大劍	Pa'agrio's Greatsword	2티어
전설	파푸리온의 정수	法利昂的精髓	Fafurion's Essence	
전설	포효의 이도류	咆哮雙刀	Howling Dual Blades	2티어
전설	폭풍의 가더	暴風臂甲	Storm Guarder	1티어
전설	폭풍의 비수	暴風匕首	Storm Yedo	1티어
전설	풍룡의 비늘	風龍鱗	Wind Dragon's Scale	
전설	풍룡의 비늘 각반	風龍鱗脛甲	Wind Dragon's Scale Gaiters	0티어
전설	풍룡의 비늘 갑옷	風龍鱗甲	Wind Dragon's Scale Armor	0티어
전설	하그마의 벨트	哈格瑪皮帶	Hagma's Belt	1티어
전설	하딘의 지팡이	哈汀法杖	Hardin's Staff	2티어
전설	해방의 망토	解放斗篷	Cloak of Release	1티어
전설	혈령의 태도	血靈太刀	Bloody Wraith's Hwando	2티어
전설	혈법서 (베인 엔드 : 강화 크림슨)	血法書 (禍源 : 強化赤血)	Blood Magic Spellbook (Vane End: Enhanced Crimson)	
전설	혈법서 (베인 인사이트)	血法書 (禍害洞察)	Blood Magic Spellbook (Vane Insight)	
전설	혈법서 (블러드 레퀴엠)	血法書 (血之安魂曲)	Blood Magic Spellbook (Blood Requiem)	
전설	혈법서 (블러드 배리어)	血法書 (血之屏障)	Blood Magic Spellbook (Blood Barrier)	
전설	혈법서 (블러드 퀸)	血法書 (血之女王)	Blood Magic Spellbook (Blood Queen)	
전설	혈법서 (블러드 포스 : 크림슨)	血法書 (赤血之力 : 赤血)	Blood Magic Spellbook (Blood Force: Crimson)	
전설	혈법서 (블러드 핸드 : 크림슨)	血法書 (血之手 : 赤血)	Blood Magic Spellbook (Blood Hand: Crimson)	
전설	혈법서 (서먼 가디언)	血法書 (召喚守護者)	Blood Magic Spellbook (Summon Guardian)	
전설	혈옥의 성배	血獄聖杯	Bloodstone Chalice	2티어
전설	혈요의 보주	血妖寶珠	Blood Demon's Orb	0티어
전설	혈익의 사이드	血翼鐮刀	Blood-Wing Scythe	3티어
전설	혈혼의 귀검	血魂鬼劍	Bloodsoul's Spirit Blade	1티어
전설	혈화의 성배	血花聖杯	Bloodblossom Chalice	1티어
전설	홍염의 마수	紅炎魔手	Flame Manahand	2티어
전설	화마의 마력포	火魔魔力砲	Mana Cannon of Wildfire	1티어
전설	화염의 기관포	火焰機關砲	Flaming Autocannon	2티어
전설	흑령의 보주	黑靈寶珠	Dark Soul's Orb	1티어
전설	흑정령의 가더	黑暗精靈臂甲	Dark Spirit's Guard	0티어
전설	흑정령의 수정 (다크 커튼)	黑暗精靈水晶 (黑暗之幕)	Dark Spirit Crystal (Dark Curtain)	
전설	흑정령의 수정 (더블 브레이크 : 데스티니)	黑暗精靈水晶 (雙重破壞 : 命運)	Dark Spirit Crystal (Double Break: Destiny)	
전설	흑정령의 수정 (쉐도우 대시 : 데스티니)	黑暗精靈水晶 (暗影衝刺 : 命運)	Dark Spirit Crystal (Shadow Dash: Destiny)	
전설	흑정령의 수정 (쉐도우 이베이젼 : 데스티니)	黑暗精靈水晶 (影之迴避 : 命運)	Dark Spirit Crystal (Shadow Evasion: Destiny)	
전설	흑정령의 수정 (아머 브레이크)	黑暗精靈水晶 (破壞盔甲)	Dark Spirit Crystal (Armor Break)	
전설	흑정령의 수정 (언케니 닷지: 데스티니)	黑暗精靈水晶 (暗影閃避 : 命運)	Dark Spirit Crystal (Uncanny Dodge: Destiny)	
전설	흑정령의 수정 (파이널 번)	黑暗精靈水晶 (會心一撃)	Dark Spirit Crystal (Final Burn)	
전설	흑혈의 성배	黑血聖杯	Black-Blood Chalice	0티어
신화	구원의 향로	救援香爐	Redemption Incense Burner	1티어
신화	귀혼서 (요기 낙뢰)	鬼魂書 (妖氣落雷)	Phantom Scroll (Spirit Energy Lightning)	
신화	근원의 성배	根源聖杯	Primal Chalice	1티어
신화	기술서 (쇼크 스턴 : 강화 베테랑)	技術書 (衝擊之暈 : 強化專家)	Vanguard's Spellbook (Shock Stun: Enhanced Veteran)	
신화	대전사의 울림	大戰士的迴響	Great Warrior's Echo	1티어
신화	대지의 발자국	大地的腳印	Footprints of the Earth	1티어
신화	돌파석 결정	突破石結晶	Breakthrough Stone Crystal	
신화	린드비오르의 마력	林德拜爾的魅惑	Lindvior's Mana	1티어
신화	린드비오르의 마력 각반	林德拜爾的魅惑脛甲	Lindvior's Mana Gaiters	1티어
신화	린드비오르의 완력	林德拜爾的力量	Lindvior's Might	1티어
신화	린드비오르의 완력 각반	林德拜爾的力量脛甲	Lindvior's Might Gaiters	1티어
신화	린드비오르의 인내력	林德拜爾的泉源	Lindvior's Endurance	1티어
신화	린드비오르의 인내력 각반	林德拜爾的泉源脛甲	Lindvior's Endurance Gaiters	1티어
신화	마격서 (데스 필드)	魔鬥書 (死亡領域)	Book of Mana Strike (Death Field)	
신화	마법서 (데스 둠)	魔法書 (死亡厄運)	Magic Spellbook (Death Doom)	
신화	병법서 (임페리얼 로드)	兵法書 (帝國之路)	Ruler's Spellbook (Imperial Road)	
신화	블루디카의 맹독	布魯迪卡的猛毒	Vladika's Venom	1티어
신화	사신의 투구	死神頭盔	God of Death's Helm	1티어
신화	섬광의 장갑	閃光手套	Gloves of Flash	1티어
신화	성서 (크루세이더)	聖書 (十字軍)	Scripture (Crusader)	
신화	수행서 (천도재)	修行書 (超渡)	Tome (Reincarnation Ritual)	
신화	신성의 헤일로	神聖的光暈	Halo of Divinity	1티어
신화	신화 제작 비법서	神話製作秘笈	Mythic Craft Recipe	
신화	실렌의 부츠	席琳長靴	Shilen's Boots	1티어
신화	안타라스의 마력	安塔瑞斯的魅惑	Antharas' Mana	2티어
신화	안타라스의 마력 각반	安塔瑞斯的魅惑脛甲	Antharas' Mana Gaiters	2티어
신화	안타라스의 완력	安塔瑞斯的力量	Antharas' Might	2티어
신화	안타라스의 완력 각반	安塔瑞斯的力量脛甲	Antharas' Might Gaiters	2티어
신화	안타라스의 인내력	安塔瑞斯的泉源	Antharas' Endurance	2티어
신화	안타라스의 인내력 각반	安塔瑞斯的泉源脛甲	Antharas' Endurance Gaiters	2티어
신화	얼음 여왕의 장갑	冰之女王手套	Ice Queen's Gloves	1티어
신화	염왕의 진언	閻王真言	King of the Underworld's Mantra	1티어
신화	영혼 결정 (카오스 블레이드)	靈魂結晶 (渾沌之刃)	Soul Crystal (Chaos Blade)	
신화	오시리스의 벨트	歐西里斯皮帶	Osiris' Belt	0티어
신화	요귀의 주인	妖怪之主	Master of the Wicked Spirit	1티어
신화	우그누스의 충절	烏格奴斯的忠貞	Ugnus' Ardor	1티어
신화	이실로테의 보호	依詩蒂的保護	Ishilotte's Protection	0티어
신화	재앙의 마력포	災殃魔力砲	Magic Cannon of Calamity	1티어
신화	전사의 인장 (뱅가드)	戰士印章 (先鋒)	Warrior's Emblem (Vanguard)	
신화	전술 교본 (버닝 실루엣)	戰術教本 (燃燒影魔)	Tactics Manual (Burning Silhouette)	
신화	정령의 수정 (셰이프 체인지)	精靈水晶 (變形術)	Spirit Crystal (Shape Shift)	
신화	제브 레퀴의 송곳니	杰弗雷庫的尖牙	Zebb Requis' Fang	0티어
신화	천귀의 보주	天鬼寶珠	Heavenly Spirit's Orb	1티어
신화	칠흑의 투구	漆黑的頭盔	Pitch-Black Helm	1티어
신화	타이탄의 분노	泰坦的憤怒	Titan's Wrath	1티어
신화	파푸리온의 마력	法利昂的魅惑	Fafurion's Mana	1티어
신화	파푸리온의 마력 각반	法利昂的魅惑脛甲	Fafurion's Mana Gaiters	1티어
신화	파푸리온의 완력	法利昂的力量	Fafurion's Might	1티어
신화	파푸리온의 완력 각반	法利昂的力量脛甲	Fafurion's Might Gaiters	1티어
신화	파푸리온의 인내력	法利昂的泉源	Fafurion's Endurance	1티어
신화	파푸리온의 인내력 각반	法利昂的泉源脛甲	Fafurion's Endurance Gaiters	1티어
신화	포식자의 사이드	捕食者鐮刀	Predator's Scythe	1티어
신화	혈법서 (서먼 가디언 : 크림슨)	血法書 (召喚守護者 : 赤血)	Blood Magic Spellbook (Summon Guardian: Crimson)	
신화	흑정령의 수정 (일루젼 스텝)	黑暗精靈水晶 (幻影之步)	Dark Spirit Crystal (Illusion Step)	
