보스	건수	주는 아이템
오만한 우그누스	12	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 혈령의 태도(전설) · 혈령의 태도(전설) · 전술 교본 (인페르노 : 트루퍼)(전설) · 전술 교본 (인페르노 : 트루퍼)(전설) · 영혼 결정 (소울 프로텍션 : 어비스)(전설) · 영혼 결정 (소울 프로텍션 : 어비스)(전설) · 병법서 (글로잉 가디언)(전설) · 병법서 (글로잉 가디언)(전설)
오시리스	22	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 흑정령의 수정 (언케니 닷지: 데스티니)(전설) · 흑정령의 수정 (언케니 닷지: 데스티니)(전설) · 전술 교본 (블리츠)(전설) · 전술 교본 (블리츠)(전설) · 마격서 (라이즈 : 오디엄)(전설) · 마격서 (라이즈 : 오디엄)(전설) · 마법서 (릴리즈)(전설) · 마법서 (릴리즈)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · 성서 (루미너스 : 디바인)(전설) · 성서 (루미너스 : 디바인)(전설) · 수행서 (처단 : 강화 탄트라)(전설) · 수행서 (처단 : 강화 탄트라)(전설) · 빛바랜 오시리스의 벨트(전설) · 빛바랜 오시리스의 벨트(전설)
왜곡의 제니스 퀸	5	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 제니스 퀸의 망토(전설) · 성서 (홀리 부스터 : 디바인)(전설)
원한의 커츠	6	커츠의 검(전설) · 반역자의 방패(전설) · 병법서 (엑스칼리버)(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 혈령의 태도(전설)
위선의 쉐도우로드	2	전설 제작 비법서(전설) · 전설 제작 비법서(전설)
위선의 시어	9	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 시어의 심안(전설) · 불신의 각반(전설) · 전사의 인장 (타이탄 폴)(전설) · 귀혼서 (화형술)(전설) · 신화 제작 비법서(신화) · 돌파석 결정(신화)
위선의 오라클	9	마법서 (미티어 스트라이크)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 성서 (루미너스 : 디바인)(전설) · 귀혼서 (요기 개방)(전설) · 전사의 인장 (타이탄 하트)(전설) · 신화 제작 비법서(신화) · 돌파석 결정(신화)
이프리트	4	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설)
일렉카둠	1	검은 망령의 투구(전설)
잊혀진 자 알스카리아	3	전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 마법서 (리커버리 배리어)(전설)
자경단장 마토르	2	전설 제작 비법서(전설) · 심판관의 정수(전설)
자이언트 샌드웜	4	마법서 (디스인티그레이트)(전설) · 샌드웜의 정수(전설) · 샌드웜의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설)
자이언트 웜	3	전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설)
잔혹한 아이리스	3	전설 제작 비법서(전설) · 심판관의 정수(전설) · 귀혼서 (화형술)(전설)
잔혹한 자드 아즈테	1	검은 망령의 장갑(전설)
잔혹한 하피	1	검은 망령의 부츠(전설)
전설의 도전자	2	승자의 증명[전설](전설) · 승자의 증명[전설](전설)
제브 레퀴	8	전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 전사의 인장 (퓨리 : 라이징)(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설) · 영혼 결정 (카오스 리플렉션)(전설) · 기술서 (오러 블레이드)(전설)
죽음	2	검은 망령의 갑옷(전설) · 복종의 비수(전설)
죽음의 사제	2	전설 방어구 제작 비법서 조각(전설) · 전설 방어구 제작 비법서 조각(전설)
죽음의 좀비 로드	7	마법서 (디스인티그레이트)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 죽음의 좀비 로드 마법인형 카드(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설)
지룡 안타라스	41	마법서 (디스인티그레이트)(전설) · 마법서 (디스인티그레이트)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 안타라스의 정수(전설) · 안타라스의 정수(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 흑정령의 수정 (쉐도우 대시 : 데스티니)(전설) · 흑정령의 수정 (쉐도우 대시 : 데스티니)(전설) · 지룡의 비늘(전설) · 지룡의 비늘(전설) · 마법서 (데스힐: 에이션트)(전설) · 마법서 (데스힐: 에이션트)(전설) · 전술 교본 (버닝 미스트)(전설) · 전술 교본 (버닝 미스트)(전설) · 기술서 (드래곤 로어 : 베테랑)(전설) · 기술서 (드래곤 로어 : 베테랑)(전설) · 마격서 (리뎀션)(전설) · 마격서 (리뎀션)(전설) · 전사의 인장 (타이탄 폴)(전설) · 전사의 인장 (타이탄 폴)(전설) · 정령의 수정 (어스 유니온)(전설) · 정령의 수정 (어스 유니온)(전설) · 수행서 (영체 타격 : 탄트라)(전설) · 수행서 (영체 타격 : 탄트라)(전설) · 기술서 (오러 가드)(전설) · 기술서 (오러 가드)(전설) · 혈법서 (베인 인사이트)(전설) · 혈법서 (베인 인사이트)(전설) · 신화 제작 비법서(신화) · 신화 제작 비법서(신화) · 마격서 (데스 필드)(신화) · 마격서 (데스 필드)(신화) · 귀혼서 (요기 낙뢰)(신화) · 귀혼서 (요기 낙뢰)(신화) · 포식자의 사이드(신화) · 포식자의 사이드(신화) · 돌파석 결정(신화) · 돌파석 결정(신화)
지룡의 수호기사	7	드래곤 슬레이어(전설) · 마법서 (디스인티그레이트)(전설) · 안타라스의 정수(전설) · 기술서 (드래곤 로어)(전설) · 드래곤 슬레이어 검 조각(전설) · 혈옥의 성배(전설) · 돌파석 결정(신화)
지룡의 유니 드래곤	1	드래곤 슬레이어 검 조각(전설)
지룡의 테라 드래곤	1	드래곤 슬레이어 검 조각(전설)
지배의 감시자 리퍼	2	전설 제작 비법서(전설) · 제니스 퀸의 망토(전설)
지배의 위도우 로드	7	사이하의 활(전설) · 전설 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 제니스 퀸의 망토(전설) · 성서 (홀리 부스터 : 디바인)(전설)
지배의 위도우 워커	2	전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설)
지옥의 쿠거	12	병법서 (엑스칼리버)(전설) · 병법서 (엑스칼리버)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 복종의 비수(전설) · 복종의 비수(전설) · 쿠거의 가죽 부츠(전설) · 쿠거의 가죽 부츠(전설) · 수행서 (명부 사자)(전설) · 수행서 (명부 사자)(전설)
질풍의 거대 드레이크	12	전설 방어구 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 정령의 수정 (폴루트 워터: 스피릿)(전설) · 옌 드루가 변신 카드(전설) · 옌 드루가 변신 카드(전설) · 전술 교본 (리로드)(전설) · 전술 교본 (리로드)(전설)
칠흑의 데스나이트	10	데스나이트의 불검(전설) · 데스나이트의 투구(전설) · 데스나이트의 장갑(전설) · 데스나이트의 부츠(전설) · 전설 제작 비법서(전설) · 데스나이트의 정수(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · [스킨 카드] 칠흑의 데스나이트(전설) · 기술서 (드래곤 로어 : 베테랑)(전설) · 영혼 결정 (소울 배리어)(전설)
칼투란	4	칼투란의 망토(전설) · 칼투란의 벨트(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설)
커츠	16	커츠의 검(전설) · 반역자의 방패(전설) · 병법서 (엑스칼리버)(전설) · 전설 제작 비법서(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 뱀파이어의 망토(전설) · 혈령의 태도(전설) · 라이아의 반지(전설) · 혈법서 (서먼 가디언)(전설) · 혈법서 (베인 인사이트)(전설) · 혈법서 (블러드 핸드 : 크림슨)(전설) · 대학살의 사이드(전설) · 흑혈의 성배(전설) · 혈법서 (서먼 가디언 : 크림슨)(신화) · 돌파석 결정(신화)
케레니스	3	케레니스의 장갑(전설) · 케레니스의 부츠(전설) · 케레니스의 서클릿(전설)
코카트리스 킹	4	전설 제작 비법서(전설) · 심판관의 정수(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 아르움 변신 카드(전설)
쿠르토	1	병법서 (엑스칼리버)(전설)
타곤	9	침묵의 대검(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 신념의 귀걸이(전설) · 전사의 인장 (타이탄 락 : 라이징)(전설) · 전사의 인장 (버서커 : 라이징)(전설) · 귀혼서 (강령술 : 극)(전설) · 병법서 (빅토리 오더)(전설) · 전술 교본 (버닝 실루엣)(신화)
타락	15	마법서 (앱솔루트 배리어)(전설) · 마법서 (앱솔루트 배리어)(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 복종의 태도(전설) · 복종의 태도(전설) · 전술 교본 (인페르노 : 트루퍼)(전설) · 전술 교본 (인페르노 : 트루퍼)(전설) · 수행서 (망자 걸음 : 탄트라)(전설) · 수행서 (망자 걸음 : 탄트라)(전설) · 기술서 (오러 블레이드)(전설)
타락자 디아르	11	전설 제작 비법서(전설) · 린드비오르의 정수(전설) · 세계수의 손길(전설) · 정령의 수정 (엘리멘탈 마스터 : 스피릿)(전설) · 에번트의 망토(전설) · [스킨 카드] 타락자 디아르(전설) · 성서 (블레이드 : 디바인)(전설) · 흑정령의 수정 (다크 커튼)(전설) · 청염의 타락자 디아르 변신 카드(전설) · 수행서 (무상)(전설) · 돌파석 결정(신화)
테베 머미 골렘	1	검은 망령의 부츠(전설)
파푸리온	20	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 파푸리온의 정수(전설) · 파푸리온의 정수(전설) · 마법서 (리커버리 배리어)(전설) · 신념의 귀걸이(전설) · 혈령의 태도(전설) · 흑정령의 수정 (쉐도우 대시 : 데스티니)(전설) · 영혼 결정 (소울 배리어)(전설) · 영혼 결정 (카오스 리플렉션)(전설) · 흑정령의 수정 (다크 커튼)(전설) · 병법서 (글로잉 가디언)(전설) · 혈법서 (블러드 배리어)(전설) · 혈법서 (블러드 레퀴엠)(전설) · 혈익의 사이드(전설) · 전사의 인장 (타이탄 하트)(전설) · 영혼 결정 (카오스 블레이드)(신화) · 흑정령의 수정 (일루젼 스텝)(신화) · 근원의 성배(신화) · 돌파석 결정(신화)
포악한 드레이크 킹	7	전설 제작 비법서(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설) · 공허의 활(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 전술 교본 (리로드)(전설) · 성서 (블레이드 : 디바인)(전설)
풍룡 린드비오르	43	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 린드비오르의 정수(전설) · 린드비오르의 정수(전설) · 마법서 (스톱)(전설) · 마법서 (스톱)(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 전술 교본 (블리츠)(전설) · 전술 교본 (블리츠)(전설) · 드루가 가문의 열쇠(전설) · 풍룡의 비늘(전설) · 풍룡의 비늘(전설) · 마법서 (릴리즈)(전설) · 마법서 (릴리즈)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 수행서 (처단 : 강화 탄트라)(전설) · 수행서 (처단 : 강화 탄트라)(전설) · 혈법서 (블러드 포스 : 크림슨)(전설) · 혈법서 (블러드 포스 : 크림슨)(전설) · 혈법서 (블러드 핸드 : 크림슨)(전설) · 혈법서 (블러드 핸드 : 크림슨)(전설) · 신화 제작 비법서(신화) · 신화 제작 비법서(신화) · 린드비오르의 완력(신화) · 린드비오르의 완력(신화) · 린드비오르의 인내력(신화) · 린드비오르의 인내력(신화) · 린드비오르의 마력(신화) · 린드비오르의 마력(신화) · 린드비오르의 완력 각반(신화) · 린드비오르의 완력 각반(신화) · 린드비오르의 인내력 각반(신화) · 린드비오르의 인내력 각반(신화) · 린드비오르의 마력 각반(신화) · 린드비오르의 마력 각반(신화) · 흑정령의 수정 (일루젼 스텝)(신화) · 흑정령의 수정 (일루젼 스텝)(신화) · 돌파석 결정(신화) · 돌파석 결정(신화)
풍룡의 테라 드래곤	1	복종의 비수(전설)
피닉스	18	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 전술 교본 (피닉스 포스)(전설) · 전술 교본 (피닉스 포스)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 수행서 (영체 묶기)(전설) · 수행서 (영체 묶기)(전설) · 영혼 결정 (소울 배리어)(전설) · 영혼 결정 (소울 배리어)(전설) · 흑정령의 수정 (쉐도우 이베이젼 : 데스티니)(전설) · 흑정령의 수정 (쉐도우 이베이젼 : 데스티니)(전설) · 병법서 (글로잉 가디언)(전설) · 병법서 (글로잉 가디언)(전설) · 전술 교본 (트리거 : 트루퍼)(전설) · 전술 교본 (트리거 : 트루퍼)(전설)
하딘	5	전설 제작 비법서(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설) · 하딘 마법인형 카드(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설)
혹한의 맘보 토끼	3	전설 변신 각성서(전설) · 신화 변신 각성서(신화) · 초월 변신 각성서(초월)
